
# WJets
# GenXsecAnalyzer
ST_s-channel_4f_leptonDecays_TuneCP5_PSweights_13TeV-amcatnlo-pythia8                               3.36
ST_t-channel_antitop_4f_InclusiveDecays_TuneCP5_PSweights_13TeV-powheg-pythia8                      80.95
ST_t-channel_top_4f_InclusiveDecays_TuneCP5_PSweights_13TeV-powheg-pythia8                          136.02
ST_tW_antitop_5f_inclusiveDecays_TuneCP5_PSweights_13TeV-powheg-pythia8                             35.85 
ST_tW_top_5f_inclusiveDecays_TuneCP5_PSweights_13TeV-powheg-pythia8                                 35.85 
# VHcc/2018
ST_s-channel_antitop_leptonDecays_13TeV-PSweights_powheg-pythia                                     1.2934
ST_s-channel_top_leptonDecays_13TeV-PSweights_powheg-pythia                                         2.0688 
ST_t-channel_antitop_4f_InclusiveDecays_TuneCP5_13TeV-powheg-madspin-pythia8                        80.95



# VV 
# GenXsecAnalyzer
WW_TuneCP5_13TeV-pythia8                                                                            75.90
WZ_TuneCP5_13TeV-pythia8                                                                            27.57
ZZ_TuneCP5_13TeV-pythia8                                                                            12.14

WW_TuneCUETP8M1_13TeV-pythia8                                                                       64.30
WZ_TuneCUETP8M1_13TeV-pythia8                                                                       23.43
ZZ_TuneCUETP8M1_13TeV-pythia8                                                                       10.16
# just copied
WW_TuneCP5_PSweights_13TeV-pythia8                                                                  75.90
WZ_TuneCP5_PSweights_13TeV-pythia8                                                                  27.57
# ZZ_TuneCP5_13TeV-pythia8                                                                          12.14

# ggH 
# Production mode from GenXsecAnalyzer
# https://twiki.cern.ch/twiki/bin/view/LHCPhysics/CERNYellowReportPageAt13TeV
# BR from https://twiki.cern.ch/twiki/bin/view/LHCPhysics/CERNYellowReportPageAt13TeV
GluGluHToBB_M-125_13TeV_powheg_MINLO_NNLOPS_pythia8                                                 27.80*5.824E-01 # GenXsecAnalyzer
GluGluHToCC_M-125_13TeV_powheg_MINLO_NNLOPS_pythia8                                                 27.80*2.891E-02

GluGluHToBB_M125_13TeV_powheg_pythia8                                                               48.85*5.824E-01
GluGluHToCC_M125_13TeV_powheg_pythia8 				                                            	48.85*2.891E-02

# Other H
VBFHToBB_M-125_13TeV_powheg_pythia8_weightfix                                                       3.782*5.824E-01
VBFHToCC_M-125_13TeV_powheg_pythia8_weightfix                                                       3.782*2.891E-02
VBFHToCC_M-125_TuneCUETP8M1_13TeV-powheg-pythia8_weightfix                                          3.782*2.891E-02

WminusH_HToBB_WToQQ_M125_13TeV_powheg_pythia8                                                       0.20927
WminusH_HToBB_WToLNu_M125_13TeV_powheg_pythia8                                                      0.10899
WplusH_HToBB_WToQQ_M125_13TeV_powheg_pythia8                                                        0.32993
WplusH_HToBB_WToLNu_M125_13TeV_powheg_pythia8                                                       0.17202
WminusH_HToCC_WToQQ_M125_13TeV_powheg_pythia8                                                       0.01040
WminusH_HToCC_WToLNu_M125_13TeV_powheg_pythia8                                                      0.00541
WplusH_HToCC_WToQQ_M125_13TeV_powheg_pythia8                                                        0.01639
WplusH_HToCC_WToLNu_M125_13TeV_powheg_pythia8                                                       0.00854

WminusH_HToCC_WToQQ_M125_TuneCUETP8M1_13TeV-powheg-pythia8                                          0.01040
WminusH_HToCC_WToLNu_M125_TuneCUETP8M1_13TeV_powheg_pythia8                                         0.00541
WplusH_HToCC_WToQQ_M125_TuneCUETP8M1_13TeV-powheg-pythia8                                           0.01639
WplusH_HToCC_WToLNu_M-125_TuneCUEP8M1_13TeV-powheg-pythia8                                          0.00854

WminusH_HToCC_WToQQ_M125_TuneCP5_13TeV-powheg-pythia8                                               0.01040
WplusH_HToCC_WToQQ_M125_TuneCP5_13TeV-powheg-pythia8                                                0.01639

ZH_HToBB_ZToNuNu_M125_13TeV_powheg_pythia8                                                          0.09322
ZH_HToBB_ZToQQ_M125_13TeV_powheg_pythia8                                                            0.35941
ZH_HToBB_ZToLL_M125_13TeV_powheg_pythia8                                                            0.04718
ZH_HToCC_ZToNuNu_M125_13TeV_powheg_pythia8                                                          0.00463
ZH_HToCC_ZToQQ_M125_13TeV_powheg_pythia8                                                            0.01785
ZH_HToCC_ZToLL_M125_13TeV_powheg_pythia8                                                            0.00234
ZH_HToCC_ZToQQ_M125_TuneCUETP8M1_13TeV-powheg-pythia8                                               0.01785
ZH_HToCC_ZToLL_M-125_TuneCUEP8M1_13TeV-powheg-pythia8                                               0.00234
ZH_HToCC_ZToQQ_M125_TuneCP5_13TeV-powheg-pythia8                                                    0.01785


ggZH_HToBB_ZToNuNu_M125_13TeV_powheg_pythia8                                                        0.01437
ggZH_HToBB_ZToQQ_M125_13TeV_powheg_pythia8                                                          0.04992
ggZH_HToBB_ZToLL_M125_13TeV_powheg_pythia8                                                          0.00720
ggZH_HToCC_ZToNuNu_M125_13TeV_powheg_pythia8                                                        0.00071
ggZH_HToCC_ZToQQ_M125_13TeV_powheg_pythia8                                                          0.00248
ggZH_HToCC_ZToLL_M125_13TeV_powheg_pythia8                                                          0.00036
ggZH_HToCC_ZToQQ_M125_TuneCUETP8M1_13TeV-powheg-pythia8                                             0.00248
ggZH_HToCC_ZToQQ_M125_TuneCP5_13TeV-powheg-pythia8                                                  0.00248

ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8                                                           5.071E-01*5.824E-01


# DY 
# GenXsecAnalyzer
# Z(ll)+jets, LO (!! NNLO/LO = 6077.22/5343.0 = 1.137 applied !!)
DYJetsToLL_M-50_HT-400to600_TuneCP5_13TeV-madgraphMLM-pythia8                                       6.968*1.137 
DYJetsToLL_M-50_HT-600to800_TuneCP5_13TeV-madgraphMLM-pythia8                                       1.743*1.137 
DYJetsToLL_M-50_HT-800to1200_TuneCP5_13TeV-madgraphMLM-pythia8                                      0.8052*1.137  
DYJetsToLL_M-50_HT-1200to2500_TuneCP5_13TeV-madgraphMLM-pythia8                                     0.1933*1.137 
DYJetsToLL_M-50_HT-2500toInf_TuneCP5_13TeV-madgraphMLM-pythia8                                      0.003468*1.137
# 2017
DYJetsToLL_M-50_HT-200to400_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                                  40.99*1.438  
DYJetsToLL_M-50_HT-400to600_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                                  5.678*1.494   
DYJetsToLL_M-50_HT-600to800_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                                  1.367*1.139   
DYJetsToLL_M-50_HT-800to1200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                                 0.6304*1.139    
DYJetsToLL_M-50_HT-1200to2500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                                0.1514*1.139
DYJetsToLL_M-50_HT-2500toInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                                 0.003565*1.139 
# 2018
DYJetsToLL_M-50_HT-100to200_TuneCP5_PSweights_13TeV-madgraphMLM-pythia8                             161.1*1.137    
DYJetsToLL_M-50_HT-200to400_TuneCP5_PSweights_13TeV-madgraphMLM-pythia8                             48.66*1.137    
DYJetsToLL_M-50_HT-400to600_TuneCP5_PSweights_13TeV-madgraphMLM-pythia8                             6.968*1.137    
